A,B,C
13.528104691935328,29.41575348528127,4.630818162057556
10.800314416734446,13.261204694287768,4.760620822424074
11.957475968211478,13.647575007571332,6.099659595887113
14.481786398402916,24.846983540790056,5.655263730722598
13.735115980299934,14.1343829744292,5.640131526097592
8.045444240247178,29.718105928246462,3.383043955689166
11.900176835051179,17.931905096201262,4.975673875601064
9.697285583404604,16.262725942796212,4.261969090794311
9.793562296412885,29.614710132401925,5.279924599043238
10.821197003876744,27.402573957172123,4.901849610357042
10.288087142321755,29.337794802132848,5.9101789080925915
12.90854701392595,24.530223291376927,5.317218215191302
11.522075450293986,15.693871574726487,5.7863279621089765
10.243350032985656,29.55032476549517,4.533580903264057
10.887726465490852,18.659983145243096,4.05555374408175
10.667348654748533,24.012281978981974,4.589950306797451
12.988158146315213,24.73625983886874,4.982979586138559
9.589683472468398,19.22494953454583,5.379151735555082
10.626135403301802,23.0703968517304,7.259308950690852
8.29180852139655,24.611033357832632,4.9577428483393575
4.894020368331843,21.88212765577815,4.044054999507223
11.307237190880722,14.502996047079026,4.654018224300613
11.728872397719012,21.49119087103028,4.536404025353906
8.515669959187116,26.63192948343515,5.481481473773462
14.539509247975214,16.527160701343174,3.4592029855553754
7.091268650802471,19.251827298361647,5.063261994200332
10.091517034602893,17.82423224139181,5.156506537965376
9.625632299948332,29.24631864239671,5.232181036200275
13.065558428716916,23.361473785062177,4.4026839310346375
12.938717539800571,22.03730918120555,4.762078270263993
10.309894851393832,16.150419627773417,3.575939091017468
10.756325039204347,22.696245956459087,4.506680116637806
8.224428504739775,16.62833669671312,4.457138523983282
6.038407063552146,20.159152791371756,5.416050046261425
9.304175701347695,16.820769608105596,3.8438175681780873
10.31269793820796,23.3821664747325,5.781198101709993
12.460581361455441,22.882954083074704,6.494484544491369
12.404759697568823,18.958506222110024,2.9300149749864675
9.225346365184095,21.980033563308226,5.426258730778101
9.39539449884933,14.534692456347472,5.676908035030245
7.902894069865814,12.543712036471973,4.362562974447771
7.15996412564205,22.196958506322684,4.602728185671202
6.587459618749975,20.833367476862644,4.867119422413045
13.90155079046358,23.17515718446053,4.702209120598272
8.980695636496693,31.91572387431971,4.690987030952877
9.123851396777628,24.722397434952068,3.3239961936700233
7.494409279900148,15.435888872779207,6.15233156478312
11.55498071166382,25.585081440479264,6.079618592036821
6.772204304884097,13.420462947442395,4.186635740795797
9.574519439572063,17.692076975926454,3.533575672197486
8.20906687761265,19.658791973376843,5.521064876452758
10.773804995718525,28.566713608246832,4.424212030186934
8.978389724862254,16.2762258897578,5.14195316332078
7.638735631755176,15.867807306704929,4.680671582854905
9.94363554332269,19.50773737787284,5.691538751070187
10.856663741060835,16.682608568189462,5.694749143656006
10.133034444766336,25.633179610532537,4.2744026215364155
10.604943795479564,14.600342458182883,3.6166360446049444
8.731355812638073,14.262656737944488,3.4170616026649183
9.274517668025723,17.81089977627783,5.610379379107205
8.655079104448099,17.509837746538476,3.8111407422159713
9.280893676918918,29.64766026908493,4.493183645701312
8.373707435911092,24.747104034628805,4.403685961549492
6.547434795336646,20.437756206925954,4.9474327037304535
10.354852284507505,13.87282240584916,3.0637201941534933
9.196438127583477,24.221814882007735,5.188778596793829
6.739603306067911,14.998923263052177,5.523891023834206
10.92556451105155,12.276144516111941,5.088422087044662
8.185403271233515,25.94014896176151,4.689113828301529
10.103890791592278,21.58471305962425,5.097400166268783
11.458181124355074,24.604294118904093,5.39904634564013
10.257965821514821,21.593638264715107,2.22740724357335
12.278801369086601,24.284153059513457,6.955912308250694
7.530348359292695,16.744872033499266,5.390093322687926
10.804683282355098,14.828785791077676,4.34759141761298
8.630379818119373,23.407972591408136,4.6090466248123985
8.258405701636237,15.982951679130794,5.493741777349189
8.842300670471168,16.552251111248996,4.8838960609656334
9.376894935745256,17.722337482413284,2.9693155322185056
10.11233068445949,20.087395795125282,7.064492861359319
7.6697003184332875,18.23003044373258,4.889459342767528
11.801652973908375,13.125243532909906,6.0201727117158
10.93132487946092,16.78190798583555,4.307950152215609
6.9275126274455525,8.882984238877867,6.536377054245798
12.976504387591199,23.126157255135936,5.28634368889228
13.791778352061167,11.989711721966263,5.608843834475451
12.357559142319301,14.478083302857748,3.9547466338530453
9.640150328375299,20.26082539630487,6.211145289682701
7.858494756978915,16.302185018043435,5.689818164534788
12.108903453862274,27.715072977033678,6.301846229564998
9.193646106053642,13.535715451382757,4.371912440358421
12.444890140764855,21.335254346745913,4.518972881539212
10.416549956153721,19.803585908862523,7.303916697683942
11.953278072967425,14.159532511294014,3.9399841772784527
10.712732794348804,22.616383302658768,4.864050299321679
11.413146336383896,19.14226834388876,6.136891362602695
10.02100004144164,23.858952756068337,5.097724967714855
13.57174098781167,24.117520769818658,5.5829536797532935
10.25382418540724,30.81617974640345,4.600550970737125
10.803978726889403,26.68263974718196,5.370055887847519
